# INFO_GERAL: XV RALLY BARRETOS 16/03/2025 - 15:31:01 | Campeonato Brasileiro de Rally Baja 2025 Resultados Extra-Oficiais | ACUMULADO ATÉ DIA 2: Barretos/SP - (272.81km) Geral UTV

POS;PILOTO_INFO;CAT;DIA 1;DIA 2;NO;COLUNA_4;COLUNA_7;COLUNA_10;COLUNA_12;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
1;"JUNIOR SIQUEIRA (SP)
Polaris Rzr Pro R
Cotton Racing/ Polaris Racing Brasil";(1)UT2;"01:32:34.77
(1)";"01:57:57.78
(3)";112;;;;;03:30:32.55;03:54:53.55;"* * *
00:24:21.00"
2;"GUILHERME CYSNE (SP)
Polaris Rzr Pro R
Gc Rally Team / Peak Automotiva";(1)UTU;"01:33:21.03
(3)";"01:57:38.23
(1)";101;;;;;"03:30:59.26
00:00:26.71";03:55:34.26;"* * *
00:24:35.00"
3;"PEDRO BIANOR (MG)
Can Am Maverick R
Vn Maquinas";(1)UT1;"01:33:37.74
(5)";"01:57:41.42
(2)";125;;;;;"03:31:19.16
00:00:46.61
00:00:19.90";03:55:59.16;"* * *
00:24:40.00"
4;"NUNO FOJO (PRT)
Polaris Rzr Pro R
Polaris Factory Racing / Cotton Racing";(2)UT1;"01:33:18.37
(2)";"01:58:32.17
(6)";111;;;;;"03:31:50.54
00:01:17.99
00:00:31.38";03:57:07.54;"* * *
00:25:17.00"
5;"CONRADO MATSUMOTO (MS)
Can Am Maverick R
Cotton Racing";(2)UTU;"01:33:29.32
(4)";"01:58:28.11
(5)";106;;;;;"03:31:57.43
00:01:24.88
00:00:06.89";03:57:44.43;"* * *
00:25:47.00"
6;"ANDRE HORT (SC)
Can Am Maverick R
Mh Racing / Cotton Racing";(3)UTU;"01:34:48.33
(7)";"01:59:47.07
(8)";135;;;;;"03:34:35.40
00:04:02.85
00:02:37.97";03:59:57.40;"* * *
00:25:22.00"
7;"GUILHERME CAIO (SP)
Can Am Maverick R
Cotton Racing";(3)UT1;"01:35:09.93
(8)";"02:00:28.28
(10)";123;;;;;"03:35:38.21
00:05:05.66
00:01:02.81";04:00:18.21;"* * *
00:24:40.00"
8;"MARCOS MIOTTO (SP)
Can Am Maverick R
Dust Rally Team";(4)UTU;"01:35:51.01
(11)";"01:59:59.96
(9)";131;;;;;"03:35:50.97
00:05:18.42
00:00:12.76";04:02:24.97;"* * *
00:26:34.00"
9;"TOMAS LUZA (BA)
Can Am Maverick X3
Cotton Racing";(5)UTU;"01:37:40.69
(21)";"01:58:24.43
(4)";142;;;;;"03:36:05.12
00:05:32.57
00:00:14.15";04:01:34.12;"* * *
00:25:29.00"
10;"ARIEL SCHALLENBERGER (RS)
Can Am Maverick R
T+A Rally Team";"01:36:16.92
(12)";"02:01:31.82
(12)";"* * *
00:24:57.00";121;(6)UTU;04:02:45.74;;;;"03:37:48.74
00:07:16.19
00:01:43.62";
11;"RODRIGO MATSUMOTO (MS)
Polaris Rzr Pro R
Cotton Racing / Polaris Racing Brasil";"01:35:30.31
(9)";"02:03:36.67
(15)";"* * *
00:25:03.00";108;(1)UT3;04:04:09.98;;;;"03:39:06.98
00:08:34.43
00:01:18.24";
12;"VINICIUS JOSE LIMA (MG)
MINAE MIYAUTI (SP)
Can Am Maverick X3
Bianchini Rally";"01:36:48.55
(17)";"02:04:12.87
(16)";"* * *
00:25:16.00";129;(1)UDB;04:06:17.42;;;;"03:41:01.42
00:10:28.87
00:01:54.44";
13;"MARCO DE SORDI (SP)
CARLOS MARTINATTI (SP)
Polaris Rzr Pro R
Gc Rally Team";"01:36:34.92
(14)";"02:04:27.52
(18)";"* * *
00:23:56.00";116;(1)U55;04:04:58.44;;;;"03:41:02.44
00:10:29.89
00:00:01.02";
14;"MARCOS FINATO (SP)
Can Am Maverick X3
Bianchini Rally";"01:36:27.72
(13)";"02:04:42.14
(20)";"* * *
00:24:37.00";130;(1)UOP;04:05:46.86;;;;"03:41:09.86
00:10:37.31
00:00:07.42";
15;"RICARDO GALLI (SP)
Can Am Maverick R
Brx";"01:34:45.32
(6)";"02:07:58.38
(24)";"* * *
00:26:17.00";140;(4)UT1;04:09:00.70;;;;"03:42:43.70
00:12:11.15
00:01:33.84";
16;"MARCUS COTTON (SP
Polaris Rzr Pro R
Cotton Racing / Polaris Factory Racing";"01:43:43.52
(33)";"01:59:27.22
(7)";"00:01:48.00
00:25:57.00";105;(5)UT1;04:07:19.74;;;;"03:43:10.74
00:12:38.19
00:00:27.04";
17;"LEONARDO CASTRO (BA)
ROGERIO ALMEIDA (CE)
Polaris Rzr Pro R
C3 Racing";"01:42:07.39
(31)";"02:01:35.13
(13)";"00:00:12.00
00:25:54.00";114;(2)UDB;04:09:24.52;;;;"03:43:42.52
00:13:09.97
00:00:31.78";
18;"MARCO ORTEGA (GO)
Polaris Rzr Pro R
Cotton Rancing";"01:40:24.10
(27)";"02:04:31.16
(19)";"* * *
00:27:13.00";139;(2)UT3;04:12:08.26;;;;"03:44:55.26
00:14:22.71
00:01:12.74";
19;"JOAO PAULO MILAN (SP)
LOURIVAL ROLDAN (SP)
Can Am Maverick X3
Cotton Racing";"01:38:45.76
(24)";"02:07:31.53
(23)";"* * *
00:23:16.00";127;(3)UDB;04:09:33.29;;;;"03:46:17.29
00:15:44.74
00:01:22.03";
20;"MARCELO WEYNE (SP)
-
Caca Leguas";"01:42:35.29
(32)";"02:05:39.52
(21)";"00:05:00.00
00:23:23.00";146;(3)UT3;04:06:37.81;;;;"03:48:14.81
00:17:42.26
00:01:57.52";
21;"TOMAZ DOS SANTOS (SP)
TULIO TANIGUCHI (SP)
Can Am Maverick X3
Thomriss / Hps";"01:39:52.40
(26)";"02:08:46.68
(25)";"* * *
00:24:48.00";133;(2)U55;04:13:27.08;;;;"03:48:39.08
00:18:06.53
00:00:24.27";
22;"IVAN FERREIRA (SP)
Can Am Maverick X3
Saframil / Jc Racing / Gc Rally Team";"01:38:38.44
(23)";"02:10:10.34
(27)";"00:05:51.00
00:21:13.00";109;(2)UT2;04:04:10.78;;;;"03:48:48.78
00:18:16.23
00:00:09.70";
23;"ALBERTO CASTRO (BA)
ERINALDO BENTO (BA)
-
C3 Racing";"01:40:53.93
(28)";"02:08:48.59
(26)";"00:03:18.00
00:23:26.00";126;(3)U55;04:09:50.52;;;;"03:49:42.52
00:19:09.97
00:00:53.74";
24;"DANIEL GONCALVES (SP)
-
Caca Leguas";"01:44:01.66
(34)";"02:06:10.45
(22)";"00:04:00.00
00:25:31.00";145;(1)U50;04:11:43.11;;;;"03:50:12.11
00:19:39.56
00:00:29.59";
25;"JOAO PEDRO FRANCIOSI (BA)
Can Am Maverick X3
Cotton Racing";"01:36:35.99
(15)";"02:13:52.58
(28)";"* * *
00:27:10.00";132;(7)UTU;04:17:38.57;;;;"03:50:28.57
00:19:56.02
00:00:16.46";
26;"RICARDO SANTOS (SP)
AMANDA DONIZETTI (SP)
-
Hps Racing";"01:41:31.99
(30)";"02:14:10.20
(29)";"* * *
00:24:10.00";143;(4)UDB;04:19:52.19;;;;"03:55:42.19
00:25:09.64
00:05:13.62";
27;"ALLAN OLIVEIRA (SE)
Polaris Rzr Pro R
Avant Polaris";"01:37:03.43
(18)";"02:23:25.37
(34)";"00:05:39.00
00:25:14.00";115;(3)UT2;04:20:03.80;;;;"04:00:28.80
00:29:56.25
00:04:46.61";
28;"JEFFERSON HOFFMAN (RS)
Polaris Rzr Pro R
Cotton Racing";"01:44:43.00
(35)";"02:17:55.24
(32)";"00:03:36.00
00:22:25.00";141;(4)UT3;04:21:27.24;;;;"04:02:38.24
00:32:05.69
00:02:09.44";
29;"DIEGO SANTOS (PR)
Polaris Rzr Pro R
Utv Motorsports";"02:03:46.25
(37)";"02:19:10.94
(33)";"00:20:27.00
00:20:24.00";150;(5)UT3;04:22:54.19;;;;"04:22:57.19
00:52:24.64
00:20:18.95";
30;"JOSE SAWAYA (SP)
Can Am Maverick R
Cotton Racing";"02:06:48.71
(38)";"02:17:16.71
(31)";"* * *
00:05:01.00";138;(4)U55;04:29:06.42;;;;"04:24:05.42
00:53:32.87
00:01:08.23";
31;"CRISTIANO DE CAMARGO (SP)
-
Ng Racing";"01:36:36.83
(16)";"02:49:09.95
(36)";"00:23:10.00
00:27:02.00";151;(2)U50;04:29:38.78;;;;"04:25:46.78
00:55:14.23
00:01:41.36";
32;"PEDRO MAC DOWELL (SP)
DANIEL SPOLIDORIO (SP)
Polaris Rzr Pro R
Qi Racing";"02:35:22.94
(40)";"02:00:43.29
(11)";"* * *
00:25:11.00";110;(5)UDB;05:01:17.23;;;;"04:36:06.23
01:05:33.68
00:10:19.45";
33;"LEONARDO ISHIZUKA (SP)
Can Am Maverick X3
Dust Rally Team";"02:27:20.01
(39)";"02:17:16.33
(30)";"* * *
00:22:35.00";144;(3)U50;05:07:11.34;;;;"04:44:36.34
01:14:03.79
00:08:30.11";
34;"RODRIGO NOLL (SP)
HUMBERTO RIBEIRO (PI)
Can Am Maverick X3
Cotton Racing";"01:37:09.51
(19)";"03:10:00.00
(37)";"00:30:00.00
00:20:42.00";136;(6)UDB;04:37:51.51;;;;"04:47:09.51
01:16:36.96
00:02:33.17";
35;"FABIO TREGANCINI (SP)
Polaris Rzr Pro R
Cotton Racing";"01:37:09.63
(20)";"03:10:00.00
(37)";"00:30:00.00
00:22:35.00";117;(6)UT3;04:39:44.63;;;;"04:47:09.63
01:16:37.08
00:00:00.12";
36;"PABLO RODRIGUES (MG)
Can Am Maverick X3
For Fun";"01:46:10.90
(36)";"03:10:00.00
(37)";"00:30:00.00
00:21:31.00";149;(7)UT3;04:47:41.90;;;;"04:56:10.90
01:25:38.35
00:09:01.27";
37;"ANDRE REIS (PR)
Can Am Maverick X3
-";"01:41:15.91
(29)";"03:40:00.00
(41)";"01:00:00.00
00:26:33.00";147;(8)UT3;04:47:48.91;;;;"05:21:15.91
01:50:43.36
00:25:05.01";
38;"CAIO ABUJAMRA (SP)
Polaris Rzr Pro R
Gc Rally Team";"03:40:00.00
(42)";"02:02:44.69
(14)";"01:00:00.00
* * *";120;(9)UT3;04:42:44.69;;;;"05:42:44.69
02:12:12.14
00:21:28.78";
39;"GUNTER HINKELMANN (SP)
Polaris Rzr Pro R
Msl Motorsport";"01:35:48.67
(10)";"04:40:00.00
(42)";"02:00:00.00
00:23:38.00";137;(5)U55;04:39:26.67;;;;"06:15:48.67
02:45:16.12
00:33:03.98";
40;"DANIEL TRECENTI (SP)
Can Am Maverick X3
Hps Racing";"01:38:50.78
(25)";"04:40:00.00
(42)";"02:00:00.00
00:26:06.00";119;(4)UT2;04:44:56.78;;;;"06:18:50.78
02:48:18.23
00:03:02.11";
41;"PARLEY FIAMONCINI (SC)
Can Am Maverick R
299 Racing Team";"03:10:00.00
(41)";"03:17:00.97
(40)";"01:43:07.00
* * *";148;(8)UTU;04:43:53.97;;;;"06:27:00.97
02:56:28.42
00:08:10.19";
42;"ANDRE SIQUEIRA (SP)
-
Caca Leguas";"04:11:58.62
(44)";"02:28:35.05
(35)";"02:46:14.00
00:16:28.00";152;(1)UST;04:10:47.67;;;;"06:40:33.67
03:10:01.12
00:13:32.70";
43;"JAVIER CASANOVA (SP)
Can Am Maverick X3
Rally Brasil";(10)UT3;"04:40:00.00
(45)";04:44:19.24;128;;"02:04:19.24
(17)";"06:44:19.24
03:13:46.69
00:03:45.57";;;"02:00:00.00
* * *";
44;"VANDERLEI RABI (SP)
Polaris Rzr Pro R
Cotton Racing";(5)UT2;"01:37:59.84
(22)";05:00:36.84;118;;"06:40:00.00
(44)";"08:17:59.84
04:47:27.29
01:33:40.60";;;"04:00:00.00
00:42:37.00";
45;"VINICIUS CASTRO (BA)
Polaris Rzr Pro R
C3 Racing";(6)UT1;"03:40:00.00
(42)";05:20:00.00;103;;"06:40:00.00
(44)";"10:20:00.00
06:49:27.45
02:02:00.16";;;"05:00:00.00
* * *";
