# INFO_GERAL: XI RALLY JALAPAO 20/06/2025 - 09:19:38 | Campeonato Brasileiro de Rally Raid 2025 Resultados Oficiais | ACUMULADO ATÉ Dia 4: Sao Felix do Tocantins/TO - Palmas/TO (740.36km) Geral - UTV

POS;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;DIA 4;NO;COLUNA_4;COLUNA_9;COLUNA_11;TOTAL DIF.LIDER DIF.ANTERIOR;COLUNA_7;COLUNA_13;COLUNA_5;COLUNA_12;COLUNA_14;COLUNA_8;TEMPO;PENAL
1;"RODRIGO VARELA (SP)
MATHEUS MAZZEI (MG)
Can-Am Maverick R
Varela Can-Am Monster Energy";(1)UTU;"02:45:09.88
(1)";"02:11:31.77
(2)";"02:00:30.96
(1)";"01:23:22.01
(1)";102;;;;08:20:34.62;;;;;;;08:21:03.62;"* * *
00:00:29.00"
2;"BRUNO VARELA (SP)
ARI FIUZA (CE)
Can-Am Maverick R
Varela Can-Am Monster Energy";(2)UTU;"02:45:14.28
(2)";"02:10:53.32
(1)";"02:03:11.63
(8)";"01:23:37.36
(2)";103;;;;"08:22:56.59
00:02:21.97";;;;;;;08:23:18.59;"* * *
00:00:22.00"
3;"DENISIO NASCIMENTO (SC)
GUNNAR DUMS (SC)
Can-Am Maverick R
Bompack Racing";(3)UTU;"02:47:13.89
(3)";"02:11:35.79
(3)";"02:00:56.12
(3)";"01:26:48.68
(7)";101;;;;"08:26:34.48
00:05:59.86
00:03:37.89";;;;;;;08:26:07.48;"00:00:39.00
00:00:12.00"
4;"PEDRO MAC DOWELL (SP)
DANIEL SPOLIDORIO (SP)
Can-Am Maverick R
Qi Racing";(4)UTU;"02:49:18.58
(5)";"02:14:28.41
(5)";"02:04:09.26
(10)";"01:25:35.41
(4)";107;;;;"08:33:31.66
00:12:57.04
00:06:57.18";;;;;;;08:32:48.66;"00:00:50.00
00:00:07.00"
5;"CONRADO MATSUMOTO (MS)
ANDRE MUNHOZ (SC)
Can-Am Maverick R
Cotton Racing";(5)UTU;"02:51:23.88
(9)";"02:17:55.40
(11)";"02:02:36.04
(6)";"01:26:40.89
(6)";116;;;;"08:38:36.21
00:18:01.59
00:05:04.55";;;;;;;08:37:04.21;"00:01:40.00
00:00:08.00"
6;"GABRIEL VARELA (SP)
MICHAEL MASSON (SC)
Can-Am Maverick R
Varela Can-Am Monster Energy";(1)UT1;"02:49:05.97
(4)";"02:13:16.93
(4)";"02:11:51.21
(21)";"01:25:06.77
(3)";153;;;;"08:39:20.88
00:18:46.26
00:00:44.67";;;;;;;08:36:21.88;"00:03:10.00
00:00:11.00"
7;"VINICIUS CASTRO (BA)
LOURIVAL ROLDAN (SP)
Can-Am Maverick R
C3 Racing - Cotton Racing";(2)UT1;"02:50:40.13
(6)";"02:14:47.14
(7)";"02:08:58.11
(15)";"01:30:26.55
(12)";168;;;;"08:44:51.93
00:24:17.31
00:05:31.05";;;;;;;08:45:37.93;"* * *
00:00:46.00"
8;"BRUNO CONTI (SP)
JHONATAN ARDIGO (PR)
Can-Am Maverick R
Luppi Racing Team";(6)UTU;"02:57:05.95
(19)";"02:25:15.39
(22)";"02:03:44.61
(9)";"01:26:40.09
(5)";117;;;;"08:52:46.04
00:32:11.42
00:07:54.11";;;;;;;08:49:21.04;"00:03:32.00
00:00:07.00"
9;"MILTON JUNIOR (AL)
LEONARDO MAGALHAES (MG)
Can-Am Maverick R
Cotton Racing";(3)UT1;"02:52:37.24
(14)";"02:19:20.43
(15)";"02:12:30.84
(24)";"01:29:05.16
(9)";138;;;;"08:53:33.67
00:32:59.05
00:00:47.63";;;;;;;08:53:34.67;"00:00:12.00
00:00:13.00"
10;"OTAVIO HORT FILHO (SC)
IVO MEYER (SC)
Can-Am Maverick R
Hps Racing";(4)UT1;"02:52:58.57
(15)";"02:17:51.49
(10)";"02:11:16.71
(20)";"01:32:57.09
(15)";118;;;;"08:55:03.86
00:34:29.24
00:01:30.19";;;;;;;08:55:15.86;"* * *
00:00:12.00"
11;"JOAO PEDRO FRANCIOSI (BA)
MARCOS PANSTEIN (SC)
Can-Am Maverick R
Cotton Racing";(7)UTU;"03:02:16.67
(26)";"02:22:22.96
(18)";"02:06:23.72
(11)";"01:28:40.51
(8)";115;;;;"08:59:43.86
00:39:09.24
00:04:40.00";;;;;;;08:52:06.86;"00:07:40.00
00:00:03.00"
12;"JORGE WAGENFUHR (PR)
GUSTAVO BORTOLANZA (PA)
Can-Am Maverick R
Lifesil - Mrp Performance";(1)UOP;"02:56:25.69
(18)";"02:21:58.89
(16)";"02:09:57.04
(16)";"01:36:12.92
(21)";110;;;;"09:04:34.54
00:43:59.92
00:04:50.68";;;;;;;09:03:40.54;"00:01:06.00
00:00:12.00"
13;"MARCELO WEYNE (SP)
WILLIAN SANTOS (PR)
Can-Am Maverick R
Caca Leguas";(2)UOP;"02:57:45.20
(21)";"02:25:54.94
(23)";"02:08:06.25
(13)";"01:33:24.77
(16)";154;;;;"09:05:11.16
00:44:36.54
00:00:36.62";;;;;;;09:05:19.16;"* * *
00:00:08.00"
14;"RODRIGO VILHENA (AM)
PAULO MEDINA (AM)
Can-Am Maverick R
Dango Racing";(5)UT1;"03:01:45.74
(25)";"02:22:37.95
(19)";"02:10:10.83
(18)";"01:35:21.79
(19)";134;;;;"09:09:56.31
00:49:21.69
00:04:45.15";;;;;;;09:10:03.31;"00:01:20.00
00:01:27.00"
15;"LEANDRO MOKFA (TO)
GABRIEL DALL AGNOL (TO)
Can-Am Maverick R
Dango Racing";"02:55:21.27
(16)";"02:49:18.11
(35)";"02:06:28.06
(12)";"01:31:00.01
(13)";"* * *
00:00:05.00";144;(3)UOP;09:22:12.45;"09:22:07.45
01:01:32.83
00:12:11.14";;;;;;;;;
16;"HERON FRANCIOSI (BA)
JEFFINHO TEIXEIRA (SC)
Polaris RZR Pro R
Dango Racing";"02:55:49.36
(17)";"02:41:59.87
(34)";"02:12:41.04
(26)";"01:38:34.49
(25)";"* * *
00:03:57.00";140;(1)UT3;09:33:01.76;"09:29:04.76
01:08:30.14
00:06:57.31";;;;;;;;;
17;"RODRIGO BIANCHINI (SP)
FABIO ZELLER (SP)
Can-Am Maverick X3
Erp Motorsports";"03:05:32.48
(30)";"02:26:06.49
(24)";"02:11:56.30
(22)";"01:47:23.16
(27)";"00:06:36.00
00:00:02.00";143;(1)UT2;09:24:24.43;"09:30:58.43
01:10:23.81
00:01:53.67";;;;;;;;;
18;"RICARDO SANTOS (SP)
ROBSON SCHUINKA (PR)
Can-Am Maverick R
Hps Racing";"03:14:52.44
(33)";"02:24:50.41
(21)";"02:10:10.62
(17)";"01:41:22.32
(26)";"00:00:06.00
00:00:07.00";162;(6)UT1;09:31:16.79;"09:31:15.79
01:10:41.17
00:00:17.36";;;;;;;;;
19;"CLAUDIO ALENCASTRO (CE)
LUCAS ALENCASTRO (CE)
Polaris RZR Pro R
Lpg Rally Team";"03:16:11.93
(34)";"02:36:23.58
(31)";"02:15:59.25
(29)";"01:34:39.18
(18)";"* * *
00:00:08.00";161;(2)UT3;09:43:21.94;"09:43:13.94
01:22:39.32
00:11:58.15";;;;;;;;;
20;"FABIO BEAL (SC)
OSMAR DE MENDONCA (SC)
Can-Am Maverick X3
Four Rally Team";"03:20:43.05
(36)";"02:33:09.12
(29)";"02:10:56.53
(19)";"01:52:35.81
(28)";"00:14:12.00
00:00:07.00";157;(3)UT3;09:43:19.51;"09:57:24.51
01:36:49.89
00:14:10.57";;;;;;;;;
21;"CRISTIAN SCHERER (TO)
TOMAS VIZZOTO (TO)
Polaris RZR Pro R
Ghs Grandtec Racing";"03:03:39.70
(29)";"02:32:37.94
(28)";"03:05:05.05
(36)";"01:58:16.54
(30)";"00:06:27.00
00:00:23.00";159;(2)UT2;10:33:35.23;"10:39:39.23
02:19:04.61
00:42:14.72";;;;;;;;;
22;"ZECA SAWAYA (SP)
MINAE MIYAUTI (SP)
Can-Am Maverick R
Cotton Racing";"03:22:58.31
(37)";"02:55:33.18
(36)";"02:40:28.65
(33)";"01:57:45.82
(29)";"00:03:12.00
00:00:12.00";147;(4)UOP;10:53:45.96;"10:56:45.96
02:36:11.34
00:17:06.73";;;;;;;;;
23;"JAIME OLIVEIRA (CE)
PAULO ALCANTARA (CE)
Can-Am Maverick R
Lpg Rally Team";"03:16:56.82
(35)";"03:19:38.87
(38)";"03:22:22.82
(37)";"01:36:48.77
(22)";"00:01:49.00
00:00:16.00";160;(5)UOP;11:34:14.28;"11:35:47.28
03:15:12.66
00:39:01.32";;;;;;;;;
24;"REINALDO VARELA (SP)
TULIO TANIGUCHI (SP)
Can-Am Maverick R
Varela Can-Am Monster Energy";"02:52:02.63
(11)";"02:15:10.46
(8)";"02:27:32.67
(31)";"05:30:00.00
(32)";"02:30:03.00
00:00:07.00";123;(6)UOP;10:34:49.76;"13:04:45.76
04:44:11.14
01:28:58.48";;;;;;;;;
25;"LEANDRO TORRES (SP)
BISSINHO ZAVATTI (SP)
Can-Am Maverick R
Torres Racing";"02:59:40.37
(24)";"02:23:13.07
(20)";"02:12:37.02
(25)";"06:00:00.00
(36)";"03:00:00.00
00:02:09.00";135;(7)UOP;10:37:39.46;"13:35:30.46
05:14:55.84
00:30:44.70";;;;;;;;;
26;"FABIO PIRONDI (SP)
ENIO BOZZANO (SC)
Can-Am Maverick R
Mrp Performance";"02:51:03.78
(7)";"02:14:41.46
(6)";"03:58:10.10
(38)";"04:34:08.64
(31)";"03:05:56.00
00:01:28.00";112;(8)UTU;10:33:35.98;"13:38:03.98
05:17:29.36
00:02:33.52";;;;;;;;;
27;"ANDRE HORT (SC)
MARCELO RITTER (RS)
Can-Am Maverick X3
Hps Racing";"07:40:00.00
(40)";"02:30:08.14
(27)";"02:00:50.22
(2)";"01:32:21.18
(14)";"03:00:00.00
00:00:02.00";119;(9)UTU;10:43:21.54;"13:43:19.54
05:22:44.92
00:05:15.56";;;;;;;;;
28;"FILIPE ROCHA (AL)
JOAO VICTOR RIBEIRO (GO)
Can-Am Maverick R
Cotton Racing";"02:58:57.39
(22)";"02:17:47.49
(9)";"03:00:36.79
(35)";"05:30:00.00
(32)";"02:33:53.00
00:00:06.00";181;(10)UTU;11:13:34.67;"13:47:21.67
05:26:47.05
00:04:02.13";;;;;;;;;
29;"MARCOS FINATO (SP)
GUILHERME HOLANDA (CE)
Can-Am Maverick R
Varela Can-Am Monster Energy";"07:40:00.00
(40)";"02:35:41.14
(30)";"02:13:02.83
(27)";"01:34:07.77
(17)";"03:00:40.00
00:00:07.00";142;(8)UOP;11:02:18.74;"14:02:51.74
05:42:17.12
00:15:30.07";;;;;;;;;
30;"THIAGO TORRES (SP)
EDUARDO SHIGA (SP)
Can-Am Maverick R
T+A Rally Team";"02:57:18.58
(20)";"02:37:12.62
(32)";"02:32:01.66
(32)";"06:00:00.00
(36)";"03:03:46.00
00:00:10.00";125;(7)UT1;11:02:56.86;"14:06:32.86
05:45:58.24
00:03:41.12";;;;;;;;;
31;"DOUGLAS CARASSA (PR)
CLAUDIO RIESER (SP)
Can-Am Maverick R
Varela Can-Am Monster Energy";(8)UT1;"03:06:48.40
(31)";"07:25:00.00
(40)";"02:12:01.57
(23)";10:25:41.26;169;;"01:29:57.29
(11)";"03:48:12.00
00:00:06.00";;;;;;;;"14:13:47.26
05:53:12.64
00:07:14.40";
32;"IVAN KUHNEN (SC)
HUMBERTO PIAUI (PI)
Can-Am Maverick X3
Vigifort Racing";(9)UOP;"03:02:34.17
(27)";"02:26:19.67
(25)";"07:30:00.00
(39)";11:36:09.60;158;;"01:37:25.76
(24)";"03:00:10.00
* * *";;;;;;;;"14:36:19.60
06:15:44.98
00:22:32.34";
33;"THIAGO FRAGA (PR)
ALVARO AMARANTE (GO)
Can-Am Maverick X3
Dango Racing";(11)UTU;"02:51:18.19
(8)";"08:10:00.00
(42)";"02:01:54.60
(5)";10:06:50.08;111;;"01:36:06.29
(20)";"04:32:33.00
00:00:04.00";;;;;;;;"14:39:19.08
06:18:44.46
00:02:59.48";
34;"DONI MENEGAS (TO)
CAMILO CARRIAO (TO)
Polaris RZR Pro R
Ghs Grandtec Racing";(3)UT2;"02:59:12.98
(23)";"03:42:53.22
(39)";"02:08:22.24
(14)";11:48:50.44;139;;"06:30:00.00
(40)";"03:36:00.00
00:04:22.00";;;;;;;;"15:20:28.44
06:59:53.82
00:41:09.36";
35;"ALFEU DE CASTRO (CE)
LINCOLN DIEGO (CE)
Polaris RZR Pro R
Lpg Rally Team";(4)UT3;"09:10:00.00
(44)";"02:41:57.86
(33)";"02:18:16.19
(30)";11:13:18.03;141;;"01:36:57.98
(23)";"04:34:00.00
00:00:06.00";;;;;;;;"15:47:12.03
07:26:37.41
00:26:43.59";
36;"MICHEL FALQUEIRO (SP)
IGOR DE CARVALHO (PR)
Can-Am Maverick R
Varela Can-Am Monster Energy";(9)UT1;"06:40:00.00
(39)";"02:19:11.34
(13)";"02:14:37.42
(28)";12:13:53.76;146;;"06:00:00.00
(36)";"05:00:00.00
00:00:05.00";;;;;;;;"17:13:48.76
08:53:14.14
01:26:36.73";
37;"TOMAS LUZA (BA)
FLAVIO FRANCA (RN)
Can-Am Maverick R
Cotton Racing";(12)UTU;"07:40:00.00
(40)";"02:26:53.21
(26)";"02:01:16.62
(4)";12:05:45.83;104;;"05:30:00.00
(32)";"05:32:30.00
00:00:06.00";;;;;;;;"17:38:09.83
09:17:35.21
00:24:21.07";
38;"VALENTINA FRANCIOSI (BA)
WELLINTON REZENDE (MG)
Polaris RZR Pro R
Cotton Racing";(4)UT2;"02:52:09.18
(13)";"07:25:00.00
(40)";"02:03:05.00
(7)";11:35:25.18;170;;"05:30:00.00
(32)";"06:15:00.00
00:00:11.00";;;;;;;;"17:50:14.18
09:29:39.56
00:12:04.35";
39;"RODRIGO LUPPI (SP)
MAYKEL JUSTO (SP)
Can-Am Maverick R
Luppi Racing Team";(13)UTU;"04:13:32.29
(38)";"02:22:08.06
(17)";"02:51:00.09
(34)";12:24:15.44;120;;"10:20:00.00
(41)";"07:22:30.00
00:00:05.00";;;;;;;;"19:46:40.44
11:26:05.82
01:56:26.26";
40;"JEAN AZEVEDO (SP)
IDALI BOSSE (SC)
Can-Am Maverick R
T+A Rally Team";(14)UTU;"02:52:06.30
(12)";"08:10:00.00
(42)";"08:00:00.00
(40)";12:31:36.32;108;;"01:29:50.02
(10)";"08:00:20.00
* * *";;;;;;;;"20:31:56.32
12:11:21.70
00:45:15.88";
41;"LEONARDO CASTRO (BA)
ROGERIO ALMEIDA (CE)
Polaris RZR Pro R
C3 Racing - Avant Polaris";(5)UT2;"03:11:06.59
(32)";"02:19:18.91
(14)";"08:00:00.00
(40)";13:00:25.50;136;;"10:20:00.00
(41)";"10:50:00.00
* * *";;;;;;;;"23:50:25.50
15:29:50.88
03:18:29.18";
42;"DANIEL TRECENTI (SP)
ANDRE BALLA (SP)
Can-Am Maverick X3
Hps Racing";(6)UT2;"07:40:00.00
(40)";"03:10:18.69
(37)";"08:00:00.00
(40)";15:20:18.69;145;;"06:00:00.00
(36)";"09:30:00.00
* * *";;;;;;;;"24:50:18.69
16:29:44.07
00:59:53.19";
43;"TATA XAVIER (AL)
ERICK SHARPEY (MG)
Polaris RZR Pro R
Cotton Racing - Polaris";(10)UT1;"02:51:33.96
(10)";"02:18:33.10
(12)";"11:50:00.00
(43)";12:39:57.06;137;;"10:20:00.00
(41)";"14:40:10.00
* * *";;;;;;;;"27:20:07.06
18:59:32.44
02:29:48.37";
